Character,Line,Episode
Lumpy Space Princess,  BUUUUMPS.,Trouble in Lumpy Space
Jake,  Um... bumps.,Trouble in Lumpy Space
Finn,"  Uh, yeah, bumps.",Trouble in Lumpy Space
Action, [Jake's skin bulges up more.],Trouble in Lumpy Space
Jake,"  Aw, man!",Trouble in Lumpy Space
Action," [They hurry over and come to three Lumpy Space People, Glasses, Monty, and Lenny.]",Trouble in Lumpy Space
Finn,"  Hey, guys. Lookin' smooth!",Trouble in Lumpy Space
Glasses,  Really? You think we're smooth?,Trouble in Lumpy Space
Finn,"  Well, mostly you in the center, but yeah!",Trouble in Lumpy Space
Monty,  Why are you sucking up to us?,Trouble in Lumpy Space
Finn,  My best friend needs an antidote for lumpiness.,Trouble in Lumpy Space
Lenny,"  Chyah, lumpiness suuucks. Hey, Monty, time's up, sphere-hog! [Lenny pushes Monty off an sphere he was sitting on. Monty becomes lumpy.] My turn! [Lenny sits on the sphere and becomes smooth.]",Trouble in Lumpy Space
Finn,  So the antidote is in that orb you were sitting on!,Trouble in Lumpy Space
Lenny,"  This orb is the antidote, bruh.",Trouble in Lumpy Space
Finn,  Can my friend borrow it?,Trouble in Lumpy Space
Lenny,"  Yeah, sure, as long as you give it right back. [Tosses Finn the sphere and becomes lumpy]",Trouble in Lumpy Space
Finn,"  Hammacow. Thanks, fellas.",Trouble in Lumpy Space
Action, [Lumpy Space Princess enters.],Trouble in Lumpy Space
Lumpy Space Princess,"  What's taking so long? Did those smooth-heads give you the orb already, or what?",Trouble in Lumpy Space
Action, [Lenny takes the sphere back.],Trouble in Lumpy Space
Finn,  Wait!!,Trouble in Lumpy Space
Lenny,  Is this another friend of yours??,Trouble in Lumpy Space
Lumpy Space Princess,"  What do you care? Just give 'em the antidote already, and stop being such a poser.",Trouble in Lumpy Space
Monty,"  Sorry, kid. [exiting with Lenny and Glasses] We changed our minds.",Trouble in Lumpy Space
Finn,  Why did you have to say all those rude things to them?!,Trouble in Lumpy Space
Lumpy Space Princess,  What? I was helping you.,Trouble in Lumpy Space
Finn,  [sarcastically] Thanks a lot! [sincerely] They were right about to hand over the antidote!,Trouble in Lumpy Space
Lumpy Space Princess,  [bitterly] You're welcome a lot.,Trouble in Lumpy Space
Finn,  You insulted them! And they got mad! And now Jake's gonna be lumpy forever! [yells] This is all your fault!,Trouble in Lumpy Space
Lumpy Space Princess,"  Wow. Now I know how you really feel. I was just trying to help, but whatever. [raising her voice] No. No, not whatever! I know I mess things up sometimes, but I'm really trying! And you guys are supposed to be my friends! [tearing up] Not like the fake ones I have here! So do what you want! I'm going to Promcoming! Are you coming or not, Lumpy Jake?",Trouble in Lumpy Space
Jake,"  No. Because no matter how messed up and lumpy I get, this guy never turns his back on me! [Completely transforms into a Lumpy Space person.] Oh, yah. Right behind ya. Just gotta turn my back on this guy. [Literally does so then exits]",Trouble in Lumpy Space
Finn,"  JAKE! IT'S ALMOST SUNSET!! [to himself] Jake... I didn't save him... I... [Yells wildly and angrily then punches the ground repeatedly.] I'LL KILL YOU, LUMPY SPACE!!",Trouble in Lumpy Space
Monty,"  Jam on, man!",Trouble in Lumpy Space
Finn,  Huh? I thought you guys left!,Trouble in Lumpy Space
Monty,  We were drawn back by your plaintive wail. We dig your directionless fury.,Trouble in Lumpy Space
Finn,"  Um, thanks.",Trouble in Lumpy Space
Monty,  Respect. Here. [Tosses Finn the sphere.] Take it. Win your girl back!,Trouble in Lumpy Space
Finn,"  Yeah, there's no girl. But there is still time to save Jake! Do you guys know where Promcoming is?",Trouble in Lumpy Space
Monty,  Promcoming takes place way down on that land-lump.,Trouble in Lumpy Space
Finn,  Awesome. Do any of y'all have wheels?,Trouble in Lumpy Space
Monty,  Nah. We were all ditched here just like you.,Trouble in Lumpy Space
Finn,  Well... you think I can make it to that land-lump if I jumped off this cliff?,Trouble in Lumpy Space
Monty,  You kidding?! A smoothie like you will plummet right into the eternal void!,Trouble in Lumpy Space
Finn,  What if I was lumpy? Could I float over?,Trouble in Lumpy Space
Lenny,"  No, no! It's too dangerous!",Trouble in Lumpy Space
Glasses,  I'd say there's a 50/50 chance of you making it!,Trouble in Lumpy Space
Finn,  That's good enough for me. Now bite me!!,Trouble in Lumpy Space
Action," [The three respond in disbelief all at once, then Finn forces them to bite him.]",Trouble in Lumpy Space
Finn,  [turning lumpy exceedingly quickly] Yes! I can feel the multiple bites accelerating the lumpification process! I'm starting to float!,Trouble in Lumpy Space
Lenny,"  Don't jump, guy!!",Trouble in Lumpy Space
Finn,  I have to! For my buddy. [Jumps.] RAAAAAAGH!!!!,Trouble in Lumpy Space
Glasses,  Wow. He's insane.,Trouble in Lumpy Space
Action, [Finn successfully lands through the roof of Promcoming.],Trouble in Lumpy Space
Finn,"  Ah, I made it! And there he is!",Trouble in Lumpy Space
Jake,  Yeah! Promcoming! Yeah! Cool!,Trouble in Lumpy Space
Finn,  Jake! I'm mostly lumpy now! And I totally think you should sit on this sphere!,Trouble in Lumpy Space
Jake,  No!,Trouble in Lumpy Space
Action, [Finn tries to force him to sit on it to no avail.],Trouble in Lumpy Space
Finn,  Sit on it!,Trouble in Lumpy Space
Jake,  [Slaps sphere down] No!!,Trouble in Lumpy Space
Finn,"  Please, Jake! You're my best friend! Just sit on the sphere!",Trouble in Lumpy Space
Jake,  Chyah! I remember you! You're just a smoothie wannabe lumpy poser!,Trouble in Lumpy Space
Finn,  Sit on it!! Before I turn completely lumpy!!,Trouble in Lumpy Space
Jake,  NO!!,Trouble in Lumpy Space
Finn,"  Oh, no! I can feel the lumpiness... about to consume me!! [Fully transforms into a Lumpy Space person.] Oh, yah. Being lumpy's the best.",Trouble in Lumpy Space
Jake,"  Hey. Stop talkin' to yourself, dumb guy. Take your ball and get outta here.",Trouble in Lumpy Space
Finn,  Fine. I don't want you to have it anyway.,Trouble in Lumpy Space
Jake,"  So I can't have it now, eh?",Trouble in Lumpy Space
Finn,  That's right. It's mine.,Trouble in Lumpy Space
Jake,  GIMME THAT BALL!!,Trouble in Lumpy Space
Finn,  NO! You can't have it!,Trouble in Lumpy Space
Jake,  I want it! Give it to me!,Trouble in Lumpy Space
Finn,"  You want it that bad? Go get it, then!",Trouble in Lumpy Space
Jake,"  Bumps, bi— [Sits on the sphere and turns back to normal.] [gasps] Oh, I'm not lumpy anymore! Oh, no. Finn buddy! You gotta sit on this!",Trouble in Lumpy Space
Finn,  No! You can't make me! Smooth—OOF! [Runs into a muscular Lumpy Space person and gets knocked out.],Trouble in Lumpy Space
Jake,"  Finn! Hey, Finn! Hey, buddy! Finn",Trouble in Lumpy Space
Finn,  [waking up] Huh?,Trouble in Lumpy Space
Jake,"  Hey, dude. We made it.",Trouble in Lumpy Space
Finn,"  Man... There's something cold under my butt. [Noticing sphere] Oh! [laughs] The antidote! Just in time, too! LSP, I'm sorry I blew up at you before. I didn't mean it. I was just really stressed out.",Trouble in Lumpy Space
Lumpy Space Princess,"  You know, it's fine. You and Jake can make it up to me by dancing this last dance with me.",Trouble in Lumpy Space
Finn,"  Sounds good to me. Whaddaya say, Jake?",Trouble in Lumpy Space
Jake,  [Lumpy voice] That sounds totally lame.,Trouble in Lumpy Space
Action, [Everyone gasps],Trouble in Lumpy Space
Jake,  [Normal voice] Heh heh heh. I'm just kiddin'. Let's dance!,Trouble in Lumpy Space
Action, [Everyone resumes dancing.],Trouble in Lumpy Space
Action," [The episode starts with Finn and Jake sledding down hills with an office chair in the Ice Kingdom and laughing. As they go down a hill at high speed they smash of the head of a Snow Golem, who promptly replaces it with a cat's head and meows. As our duo goes up in the air and falls back down, the chair breaks.]",Prisoners of Love (Adventure Time)
Finn,"  Oh, no, our sled's broken! Hey, let's build one out of snow! [Starts to gather snow]",Prisoners of Love (Adventure Time)
Action, [Jake grows to giant size],Prisoners of Love (Adventure Time)
Finn,"  What are you doing, Jake?",Prisoners of Love (Adventure Time)
Action, [They both laugh],Prisoners of Love (Adventure Time)
Jake,  Sleds are for suckers. Just ride on my gut.,Prisoners of Love (Adventure Time)
Finn,  Okay! [Jumps onto his gut and they slide down a hill],Prisoners of Love (Adventure Time)
Action, [They slide past Iceclops who reaches for them but falls on his head in the snow],Prisoners of Love (Adventure Time)
Jake,  Switch!,Prisoners of Love (Adventure Time)
Action, [Jake shrinks down and hops on to Finn's back as he slides down the hills until he begins to freeze],Prisoners of Love (Adventure Time)
Finn,  [Frozen] Switch back! Switch back! [Jake grows and they switch again as they slide through a horde of penguins],Prisoners of Love (Adventure Time)
Finn,  Penguins!,Prisoners of Love (Adventure Time)
Action," [They fall through a tunnel with penguins on Jake's stomach, and they pop out of the end of the tunnel, the penguins fall off and our duo soars through the air]",Prisoners of Love (Adventure Time)
Finn,  Ha Ha!,Prisoners of Love (Adventure Time)
Jake,  I'm a flying dog! [They fist tap in midair],Prisoners of Love (Adventure Time)
Action," [Back on the ground, Ice King is shoveling snow into a wheelbarrow when Finn and Jake come crashing down, creating a crater]",Prisoners of Love (Adventure Time)
Ice King,  What?! [Approaches the crater] Who dares enter the Ice Kingdom?!,Prisoners of Love (Adventure Time)
Finn,"  Aww, Ice King's here.",Prisoners of Love (Adventure Time)
Ice King,"  You know why I'm here? Do you know what ""Ice King"" means?!",Prisoners of Love (Adventure Time)
Jake,"  Yeah, I know what ""Ice King"" means A big nerd!",Prisoners of Love (Adventure Time)
Finn,  Oh ho oh! Holy cow!,Prisoners of Love (Adventure Time)
Ice King,  It means I'm King of Ice! This is my domain! And you are violating Ice World law--trespassing!,Prisoners of Love (Adventure Time)
Jake,"  Come on, brother! We're just trying to beat the heat.",Prisoners of Love (Adventure Time)
Finn,"  Yeah! There's a big sleeping lava man in our front yard, and he is SOOOOOOOOOOOO hot!",Prisoners of Love (Adventure Time)
Jake,  Mmm-hmm!,Prisoners of Love (Adventure Time)
Finn,"  Wait, wait, no, I take it back. I mean, not like ""sexy"" hot.",Prisoners of Love (Adventure Time)
Jake,"  No, no, you do mean ""sexy"" hot.",Prisoners of Love (Adventure Time)
Finn,"  No, I mean--",Prisoners of Love (Adventure Time)
Ice King,  [Annoyed] I don't care! This is my kingdom. You guys can't just scoot about on my land willy-nilly. I've got rules here.,Prisoners of Love (Adventure Time)
Action, [Finn and Jake are building a small snowman],Prisoners of Love (Adventure Time)
Finn,  [Sighs] Why don't you just try being cool.,Prisoners of Love (Adventure Time)
Ice King,"  [Flips out] What?! I am the king! I am the king of c-cool c-co ca... That's it! Rise, monsters of snow, and go beat up Finn and Jake! [Uses magic to bring out snow monsters]",Prisoners of Love (Adventure Time)
Jake,  Uh oh.,Prisoners of Love (Adventure Time)
Finn,  [Laughs],Prisoners of Love (Adventure Time)
Action, [Finn and Jake fight the snow monsters and win],Prisoners of Love (Adventure Time)
Ice King,"  [Angry] Ooh, you guys are gonna get it.",Prisoners of Love (Adventure Time)
Finn,"  Heh heh, yeah.",Prisoners of Love (Adventure Time)
Jake,"  Yeah, right, sure.",Prisoners of Love (Adventure Time)
Action," [Ice King freezes them where they stand, Ice King is later seen pushing them up a hill to his castle in his wheelbarrow]",Prisoners of Love (Adventure Time)
Ice King,"  [Groans] I need a magic back. [Cracks his back and pulls out a plastic sandwich bag] Trail mix. [Begins to pick around in it] Ick...ooh, yogurt chip. [Eats yogurt chip and puts the bag away] Tuck, tuck. [Begins to push the wheelbarrow again] Aww man.",Prisoners of Love (Adventure Time)
Action," [In the Ice King's castle Ice King comes into a room with a jail cell in a room where Lumpy Space Princess, Hot Dog Princess, Emerald Princess, Ghost Princess, Slime Princess, Raggedy Princess, and Wildberry Princess held captive]",Prisoners of Love (Adventure Time)
Ice King,"  I'm back home! Hello, ladies!",Prisoners of Love (Adventure Time)
Action, [The princesses begin to mutter in panic],Prisoners of Love (Adventure Time)
Ice King,"  Now, now. I've brought you a baby and a puppy. [Tosses Finn and Jake into the room, where they smash against the wall and are freed from the ice]",Prisoners of Love (Adventure Time)
Wildberry Princess,  Finn! Are you okay?,Prisoners of Love (Adventure Time)
Finn,"  Huh, Wildberry Princess? Hot Dog Princess? W-what's goin' on?",Prisoners of Love (Adventure Time)
Slime Princess,"  We're all prisoners, Finn.",Prisoners of Love (Adventure Time)
Finn,  Ice King!,Prisoners of Love (Adventure Time)
Ice King,  What?,Prisoners of Love (Adventure Time)
Finn,"  Why are you keeping these girls prisoners, jerk?",Prisoners of Love (Adventure Time)
Ice King,  You don't understand! I collect princesses because I want to marry one.,Prisoners of Love (Adventure Time)
Jake,"  Well, why'd you capture six of them if you just want to marry one?",Prisoners of Love (Adventure Time)
Ice King,"  I'm collecting them all first to be sure I make the right choice. You're both too young to understand, but marriage is a serious thing and lasts forever. You can't just rush into it, you know?",Prisoners of Love (Adventure Time)
Finn,"  Ice King, don't do this. Just let the girls go. They don't want to be here.",Prisoners of Love (Adventure Time)
Ice King,  Of course they do! I would have killed them already if they didn't want to be here. Right ladies? [Shoots ice lighting from his fingers] Zzhp Zzhp.,Prisoners of Love (Adventure Time)
Princesses,  Mm-hm.,Prisoners of Love (Adventure Time)
Finn,"  [Sighs] Don't worry, princesses. I pledge that Jake and I will protect each and everyone of you and furthermore I see all of you happily married to whatever sweet thing y'all want to be married to!",Prisoners of Love (Adventure Time)
Slime Princess,  Yay!,Prisoners of Love (Adventure Time)
Ice King,  [Grumbles],Prisoners of Love (Adventure Time)
Finn,"  Rad! All I need is something to spear the Ice King with. [Begins to search through his backpack] Binoculars... toothbrush... quilt... [Worried tone] sweater... trail mix... my flute! [Pulls out a broken, bandaged flute and plays it]",Prisoners of Love (Adventure Time)
Action," [Finn throws the flute at Ice King, and it falls apart before it gets out of the cell]",Prisoners of Love (Adventure Time)
